CourseID,Enrollment_Count,Course_Revenue,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,Avg_Teacher_Experience,Avg_Teacher_Rating,Number_of_Teachers,Price_Band,Duration_Bucket,Rating_Tier,Experience_Bucket,CourseLevel_Encoded,Teacher_Rating_Score,Expertise_Match_Score,Revenue_Per_Enrollment
CR00001,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00002,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00003,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00004,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00005,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00006,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00007,178,0.0,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,8.1875,3.1912499999999997,16,Free,Long,Medium,Medium Experience,2,3.1912499999999997,0.25,0.0
CR00008,158,0.0,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,9.466666666666667,3.23,15,Free,Short,Low,Medium Experience,2,3.23,0.26666666666666666,0.0
CR00009,155,0.0,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,8.105263157894736,3.2189473684210523,19,Free,Long,High,Medium Experience,0,3.2189473684210523,0.21052631578947367,0.0
CR00010,180,0.0,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,7.888888888888889,3.1744444444444446,18,Free,Short,High,Medium Experience,2,3.1744444444444446,0.2222222222222222,0.0
CR00011,151,49229.02,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,9.3125,3.9056249999999997,16,High,Short,Medium,Medium Experience,1,3.9056249999999997,0.125,326.02
CR00012,173,84410.16,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64,9.555555555555555,3.8855555555555554,18,High,Medium,Medium,Medium Experience,2,3.8855555555555554,0.1111111111111111,487.92
