CourseID,Month,Enrollment_Count_monthly,Course_Revenue_monthly,Past_Enrollment_Count,Past_Average_Revenue,Revenue_Per_Enrollment_monthly,Enrollment_Count_course,Course_Revenue_course,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,Avg_Teacher_Experience,Avg_Teacher_Rating,Number_of_Teachers,Price_Band,Duration_Bucket,Rating_Tier,Experience_Bucket,CourseLevel_Encoded,Teacher_Rating_Score,Expertise_Match_Score,Revenue_Per_Enrollment_course
CR00001,2025-01,18,8501.039999999999,,,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-02,11,5195.08,18.0,8501.039999999999,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-03,8,3778.24,11.0,6848.0599999999995,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-04,14,6611.92,8.0,5824.786666666667,472.28000000000003,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-05,17,8028.759999999999,14.0,6021.57,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-06,11,5195.08,17.0,6423.008,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-07,12,5667.36,11.0,6218.353333333333,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-08,12,5667.36,12.0,6139.639999999999,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-09,23,10862.439999999999,12.0,6080.605,472.2799999999999,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-10,13,6139.639999999999,23.0,6611.92,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-11,13,6139.639999999999,13.0,6564.692,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00001,2025-12,12,5667.36,13.0,6526.050909090909,472.28,164,77453.92,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,5.32,2.6628000000000003,25,High,Short,High,Medium Experience,0,2.6628000000000003,0.04,472.28
CR00002,2025-01,11,0.0,,,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-02,10,0.0,11.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-03,15,0.0,10.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-04,20,0.0,15.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-05,17,0.0,20.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-06,12,0.0,17.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-07,9,0.0,12.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-08,17,0.0,9.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-09,5,0.0,17.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-10,9,0.0,5.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-11,11,0.0,9.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00002,2025-12,13,0.0,11.0,0.0,0.0,149,0.0,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,6.85,2.9515000000000002,20,Free,Medium,Low,Medium Experience,1,2.9515000000000002,0.05,0.0
CR00003,2025-01,12,0.0,,,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-02,10,0.0,12.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-03,10,0.0,10.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-04,14,0.0,10.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-05,13,0.0,14.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-06,16,0.0,13.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-07,17,0.0,16.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-08,16,0.0,17.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-09,14,0.0,16.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-10,15,0.0,14.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-11,23,0.0,15.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00003,2025-12,13,0.0,23.0,0.0,0.0,173,0.0,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,5.814814814814815,2.714074074074074,27,Free,Medium,High,Medium Experience,0,2.714074074074074,0.037037037037037035,0.0
CR00004,2025-01,20,0.0,,,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-02,12,0.0,20.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-03,10,0.0,12.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-04,7,0.0,10.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-05,11,0.0,7.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-06,11,0.0,11.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-07,21,0.0,11.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-08,9,0.0,21.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-09,15,0.0,9.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-10,13,0.0,15.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-11,15,0.0,13.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00004,2025-12,10,0.0,15.0,0.0,0.0,154,0.0,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,5.851851851851852,2.75037037037037,27,Free,Long,Medium,Medium Experience,0,2.75037037037037,0.037037037037037035,0.0
CR00005,2025-01,11,0.0,,,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-02,15,0.0,11.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-03,20,0.0,15.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-04,10,0.0,20.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-05,18,0.0,10.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-06,16,0.0,18.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-07,14,0.0,16.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-08,11,0.0,14.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-09,14,0.0,11.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-10,13,0.0,14.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-11,11,0.0,13.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00005,2025-12,13,0.0,11.0,0.0,0.0,166,0.0,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,5.517241379310345,2.6886206896551723,29,Free,Medium,Low,Medium Experience,0,2.6886206896551723,0.034482758620689655,0.0
CR00006,2025-01,11,3040.07,,,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-02,14,3869.1800000000003,11.0,3040.07,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-03,16,4421.92,14.0,3454.625,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-04,13,3592.81,16.0,3777.056666666667,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-05,17,4698.29,13.0,3730.995,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-06,13,3592.81,17.0,3924.454,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-07,8,2210.96,13.0,3869.1800000000003,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-08,15,4145.55,8.0,3632.2914285714287,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-09,10,2763.7,15.0,3696.44875,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
CR00006,2025-10,13,3592.81,10.0,3592.81,276.37,156,43113.72,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,7.733333333333333,3.2086666666666663,15,High,Long,Medium,Medium Experience,2,3.2086666666666663,0.26666666666666666,276.37
